name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cols","pix","rows"
"warmup/0",1,6.81396e+08,5.94188e+08,ns,,,,,,4000,1.2e+07,3000
"naive/0",11,5.28776e+07,5.28499e+07,ns,,,,,,4000,1.2e+07,3000
"v1/0",19,3.38062e+07,3.37577e+07,ns,,,,,,4000,1.2e+07,3000
"v2/0",325,2.0123e+07,2.05916e+06,ns,,,,,,4000,1.2e+07,3000
