name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cols","pix","rows"
"warmup/0",1,5.9727e+08,5.1417e+08,ns,,,,,,2419,486219,201
"warmup/1",90,7.42514e+06,7.41199e+06,ns,,,,,,4838,1.94971e+06,403
"warmup/2",37,1.90033e+07,1.90015e+07,ns,,,,,,7258,4.38383e+06,604
"warmup/3",21,3.2979e+07,3.29761e+07,ns,,,,,,9677,7.79966e+06,806
"gpu/0",582,1.2342e+06,1.23406e+06,ns,,,,,,2419,486219,201
"gpu/1",129,5.38994e+06,5.38868e+06,ns,,,,,,4838,1.94971e+06,403
"gpu/2",45,1.52871e+07,1.52838e+07,ns,,,,,,7258,4.38383e+06,604
"gpu/3",26,3.10821e+07,2.60533e+07,ns,,,,,,9677,7.79966e+06,806
