name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cols","pix","rows"
"warmup/0",1,6.00718e+08,5.38382e+08,ns,,,,,,2419,486219,201
"warmup/1",86,7.39311e+06,7.39259e+06,ns,,,,,,4838,1.94971e+06,403
"warmup/2",37,1.89923e+07,1.89924e+07,ns,,,,,,7258,4.38383e+06,604
"warmup/3",21,3.30918e+07,3.30915e+07,ns,,,,,,9677,7.79966e+06,806
"gpu/0",566,1.23005e+06,1.23008e+06,ns,,,,,,2419,486219,201
"gpu/1",130,5.39026e+06,5.38952e+06,ns,,,,,,4838,1.94971e+06,403
"gpu/2",45,1.50103e+07,1.50076e+07,ns,,,,,,7258,4.38383e+06,604
"gpu/3",26,3.00229e+07,2.57124e+07,ns,,,,,,9677,7.79966e+06,806
