name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cols","pix","rows"
"warmup/0",1,7.68037e+08,6.97346e+08,ns,,,,,,4032,1.21928e+07,3024
"naive/0",7,8.17512e+07,8.0679e+07,ns,,,,,,4032,1.21928e+07,3024
"v1/0",8,8.74831e+07,8.72998e+07,ns,,,,,,4032,1.21928e+07,3024
"v2/0",100,3.95778e+07,2.4964e+06,ns,,,,,,4032,1.21928e+07,3024
"bench_step2/0",13,4.72059e+07,4.71034e+07,ns,,,,,,4032,1.21928e+07,3024
"bench_step2_v1/0",24,6.62939e+07,2.95083e+07,ns,,,,,,,,
"global/0",1,1.01558e+10,2.08735e+09,ns,,,,,,,,
