name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cols","pix","rows"
"warmup/0",8,8.64172e+07,8.63109e+07,ns,,,,,,4000,1.2e+07,3000
"naive/0",8,6.85353e+07,6.79968e+07,ns,,,,,,4000,1.2e+07,3000
"v1/0",8,8.22219e+07,8.21341e+07,ns,,,,,,4000,1.2e+07,3000
"v2/0",100,4.14001e+07,2.56834e+06,ns,,,,,,4000,1.2e+07,3000
"bench_step2/0",14,6.49194e+07,6.47953e+07,ns,,,,,,4000,1.2e+07,3000
"bench_step2_v1/0",2150,331164,330023,ns,,,,,,4000,1.2e+07,3000
"global/0",1,9.65648e+09,1.98236e+09,ns,,,,,,4000,1.2e+07,3000
