name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cols","pix","rows"
"warmup/0",13,6.04342e+07,6.03546e+07,ns,,,,,,4032,9.14458e+06,2268
"naive/0",11,5.06712e+07,5.0623e+07,ns,,,,,,4032,9.14458e+06,2268
"v1/0",11,5.95803e+07,5.94888e+07,ns,,,,,,4032,9.14458e+06,2268
"v2/0",100,3.26662e+07,2.40464e+06,ns,,,,,,4032,9.14458e+06,2268
"bench_step2/0",19,3.66006e+07,3.64965e+07,ns,,,,,,4032,9.14458e+06,2268
"bench_step2_v1/0",2181,325940,324661,ns,,,,,,4032,9.14458e+06,2268
"global/0",1,7.8228e+09,1.5144e+09,ns,,,,,,4032,9.14458e+06,2268
