name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cols","pix","rows"
"warmup/0",10,6.86326e+07,6.852e+07,ns,,,,,,4032,9.14458e+06,2268
"naive/0",11,5.28929e+07,5.28077e+07,ns,,,,,,4032,9.14458e+06,2268
"v1/0",12,5.20846e+07,5.20169e+07,ns,,,,,,4032,9.14458e+06,2268
"v2/0",100,3.15215e+07,2.41914e+06,ns,,,,,,4032,9.14458e+06,2268
"bench_step2/0",18,3.71388e+07,3.70806e+07,ns,,,,,,4032,9.14458e+06,2268
"bench_step2_v1/0",2224,323725,323230,ns,,,,,,4032,9.14458e+06,2268
"global/0",1,7.54997e+09,1.57036e+09,ns,,,,,,4032,9.14458e+06,2268
