name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cols","pix","rows"
"warmup/0",9,8.44596e+07,8.38969e+07,ns,,,,,,4000,1.2e+07,3000
"naive/0",8,6.33238e+07,6.31659e+07,ns,,,,,,4000,1.2e+07,3000
"v1/0",10,6.52443e+07,6.51064e+07,ns,,,,,,4000,1.2e+07,3000
"v2/0",100,3.97779e+07,2.37447e+06,ns,,,,,,4000,1.2e+07,3000
"bench_step2/0",8,7.68336e+07,7.67258e+07,ns,,,,,,4000,1.2e+07,3000
"bench_step2_v1/0",2239,338996,334776,ns,,,,,,4000,1.2e+07,3000
"global/0",1,1.01764e+10,2.00091e+09,ns,,,,,,4000,1.2e+07,3000
