name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cols","pix","rows"
"warmup/0",12,5.86501e+07,5.83881e+07,ns,,,,,,4032,9.14458e+06,2268
"naive/0",12,4.98277e+07,4.96992e+07,ns,,,,,,4032,9.14458e+06,2268
"v1/0",12,5.91083e+07,5.84673e+07,ns,,,,,,4032,9.14458e+06,2268
"v2/0",100,3.17396e+07,2.3868e+06,ns,,,,,,4032,9.14458e+06,2268
"bench_step2/0",18,3.76822e+07,3.7621e+07,ns,,,,,,4032,9.14458e+06,2268
"bench_step2_v1/0",2142,347609,346955,ns,,,,,,4032,9.14458e+06,2268
"global/0",1,7.56711e+09,1.46146e+09,ns,,,,,,4032,9.14458e+06,2268
