name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cols","pix","rows"
"warmup/0",8,8.89626e+07,8.87208e+07,ns,,,,,,4000,1.2e+07,3000
"naive/0",8,7.25349e+07,7.24451e+07,ns,,,,,,4000,1.2e+07,3000
"v1/0",10,6.49022e+07,6.48043e+07,ns,,,,,,4000,1.2e+07,3000
"v2/0",100,4.41726e+07,2.5456e+06,ns,,,,,,4000,1.2e+07,3000
"bench_step2/0",13,6.37763e+07,5.0959e+07,ns,,,,,,4000,1.2e+07,3000
"bench_step2_v1/0",1989,336975,332113,ns,,,,,,4000,1.2e+07,3000
"global/0",1,9.47338e+09,1.85104e+09,ns,,,,,,4000,1.2e+07,3000
