name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cols","pix","rows"
"warmup/0",10,8.59978e+07,8.55973e+07,ns,,,,,,4032,1.21928e+07,3024
"naive/0",8,7.02237e+07,6.99317e+07,ns,,,,,,4032,1.21928e+07,3024
"v1/0",7,7.89486e+07,7.81482e+07,ns,,,,,,4032,1.21928e+07,3024
"v2/0",100,4.18485e+07,2.54497e+06,ns,,,,,,4032,1.21928e+07,3024
"bench_step2/0",11,5.10906e+07,5.10197e+07,ns,,,,,,4032,1.21928e+07,3024
"bench_step2_v1/0",2083,339962,339341,ns,,,,,,4032,1.21928e+07,3024
"global/0",1,9.31115e+09,2.01462e+09,ns,,,,,,4032,1.21928e+07,3024
