name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cols","pix","rows"
"warmup/0",9,8.28163e+07,8.27139e+07,ns,,,,,,4032,1.21928e+07,3024
"naive/0",8,6.85076e+07,6.84042e+07,ns,,,,,,4032,1.21928e+07,3024
"v1/0",9,7.86572e+07,7.85351e+07,ns,,,,,,4032,1.21928e+07,3024
"v2/0",100,4.0352e+07,2.4429e+06,ns,,,,,,4032,1.21928e+07,3024
"bench_step2/0",14,4.88986e+07,4.87905e+07,ns,,,,,,4032,1.21928e+07,3024
"bench_step2_v1/0",2101,335137,334587,ns,,,,,,4032,1.21928e+07,3024
"global/0",1,1.01328e+10,1.99278e+09,ns,,,,,,4032,1.21928e+07,3024
