name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cols","pix","rows"
"warmup/0",11,6.10885e+07,6.08929e+07,ns,,,,,,4032,9.14458e+06,2268
"naive/0",12,4.82571e+07,4.81337e+07,ns,,,,,,4032,9.14458e+06,2268
"v1/0",15,4.66786e+07,4.65723e+07,ns,,,,,,4032,9.14458e+06,2268
"v2/0",100,3.17212e+07,2.29602e+06,ns,,,,,,4032,9.14458e+06,2268
"bench_step2/0",18,5.50764e+07,5.49478e+07,ns,,,,,,4032,9.14458e+06,2268
"bench_step2_v1/0",2246,324553,323848,ns,,,,,,4032,9.14458e+06,2268
"global/0",1,8.33756e+09,1.48195e+09,ns,,,,,,4032,9.14458e+06,2268
