name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cols","pix","rows"
"warmup/0",9,8.92302e+07,8.88926e+07,ns,,,,,,4000,1.2e+07,3000
"naive/0",8,7.31993e+07,7.311e+07,ns,,,,,,4000,1.2e+07,3000
"v1/0",9,6.8155e+07,6.8063e+07,ns,,,,,,4000,1.2e+07,3000
"v2/0",100,4.33221e+07,2.54754e+06,ns,,,,,,4000,1.2e+07,3000
"bench_step2/0",13,4.95224e+07,4.94512e+07,ns,,,,,,4000,1.2e+07,3000
"bench_step2_v1/0",2133,342722,342125,ns,,,,,,4000,1.2e+07,3000
"global/0",1,9.71606e+09,1.92888e+09,ns,,,,,,4000,1.2e+07,3000
