name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cols","pix","rows"
"warmup/0",13,6.06941e+07,6.04516e+07,ns,,,,,,4032,9.14458e+06,2268
"naive/0",11,5.145e+07,5.13706e+07,ns,,,,,,4032,9.14458e+06,2268
"v1/0",11,5.42558e+07,5.40639e+07,ns,,,,,,4032,9.14458e+06,2268
"v2/0",100,3.31172e+07,2.42731e+06,ns,,,,,,4032,9.14458e+06,2268
"bench_step2/0",18,4.62793e+07,3.77912e+07,ns,,,,,,4032,9.14458e+06,2268
"bench_step2_v1/0",1982,330103,329299,ns,,,,,,4032,9.14458e+06,2268
"global/0",1,7.04974e+09,1.50855e+09,ns,,,,,,4032,9.14458e+06,2268
