name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cols","pix","rows"
"warmup/0",10,8.20942e+07,8.1335e+07,ns,,,,,,4032,1.21928e+07,3024
"naive/0",8,7.01667e+07,6.96305e+07,ns,,,,,,4032,1.21928e+07,3024
"v1/0",8,7.94973e+07,7.84911e+07,ns,,,,,,4032,1.21928e+07,3024
"v2/0",100,4.16751e+07,2.5332e+06,ns,,,,,,4032,1.21928e+07,3024
"bench_step2/0",14,4.90317e+07,4.89702e+07,ns,,,,,,4032,1.21928e+07,3024
"bench_step2_v1/0",2168,332015,331458,ns,,,,,,4032,1.21928e+07,3024
"global/0",1,9.85754e+09,1.98403e+09,ns,,,,,,4032,1.21928e+07,3024
